hour,nl_node_1,nl_node_2,nl_node_3
534,0.39073,0.32068,0.28634
535,0.39116,0.32103,0.28665
536,0.39116,0.32103,0.28665
537,0.37117,0.30462,0.27200
538,0.35140,0.28840,0.25752
539,0.35140,0.28840,0.25752
540,0.32265,0.26480,0.23645
541,0.29454,0.24174,0.21585
542,0.29454,0.24174,0.21585
543,0.25552,0.20971,0.18725
544,0.21829,0.17915,0.15997
545,0.21829,0.17915,0.15997
546,0.22573,0.18526,0.16542
547,0.23324,0.19143,0.17093
548,0.23324,0.19143,0.17093
549,0.20719,0.17005,0.15184
550,0.18225,0.14957,0.13356
551,0.18225,0.14957,0.13356
552,0.16955,0.13916,0.12426
553,0.15721,0.12903,0.11521
554,0.15721,0.12903,0.11521
555,0.12572,0.10318,0.09213
556,0.09719,0.07977,0.07123
557,0.09719,0.07977,0.07123
558,0.08172,0.06707,0.05988
559,0.06746,0.05536,0.04944
560,0.06746,0.05536,0.04944
561,0.04033,0.03310,0.02955
562,0.02030,0.01666,0.01488
563,0.02030,0.01666,0.01488
564,0.01572,0.01290,0.01152
565,0.01188,0.00975,0.00871
566,0.01188,0.00975,0.00871
567,0.00973,0.00798,0.00713
568,0.00792,0.00650,0.00581
569,0.00792,0.00650,0.00581
570,0.00747,0.00613,0.00547
571,0.00704,0.00578,0.00516
572,0.00704,0.00578,0.00516
573,0.00554,0.00455,0.00406
574,0.00463,0.00380,0.00339
575,0.00463,0.00380,0.00339
576,0.00765,0.00628,0.00560
577,0.01374,0.01127,0.01007
578,0.01374,0.01127,0.01007
579,0.03075,0.02524,0.02254
580,0.05550,0.04555,0.04068
581,0.05550,0.04555,0.04068
582,0.07049,0.05786,0.05166
583,0.08713,0.07151,0.06385
584,0.08713,0.07151,0.06385
585,0.11361,0.09324,0.08326
586,0.14301,0.11737,0.10481
587,0.14301,0.11737,0.10481
588,0.14620,0.11999,0.10714
589,0.14942,0.12263,0.10950
590,0.14942,0.12263,0.10950
591,0.14654,0.12027,0.10739
592,0.14369,0.11793,0.10530
593,0.14369,0.11793,0.10530
594,0.18311,0.15029,0.13419
595,0.22597,0.18546,0.16560
596,0.22597,0.18546,0.16560
597,0.21049,0.17275,0.15425
598,0.19539,0.16036,0.14319
599,0.19539,0.16036,0.14319
600,0.17404,0.14284,0.12755
601,0.15364,0.12609,0.11259
602,0.15364,0.12609,0.11259
603,0.19285,0.15827,0.14133
604,0.23520,0.19303,0.17236
605,0.23520,0.19303,0.17236
606,0.26528,0.21772,0.19441
607,0.29645,0.24330,0.21725
608,0.29645,0.24330,0.21725
609,0.25594,0.21006,0.18756
610,0.21736,0.17839,0.15929
611,0.21736,0.17839,0.15929
612,0.18527,0.15206,0.13578
613,0.15512,0.12731,0.11368
614,0.15512,0.12731,0.11368
615,0.14726,0.12086,0.10792
616,0.13956,0.11454,0.10228
617,0.13956,0.11454,0.10228
618,0.13691,0.11237,0.10033
619,0.13428,0.11021,0.09841
620,0.13428,0.11021,0.09841
621,0.07883,0.06470,0.05777
622,0.03718,0.03051,0.02725
623,0.03718,0.03051,0.02725
624,0.02600,0.02134,0.01906
625,0.01703,0.01397,0.01248
626,0.01703,0.01397,0.01248
627,0.02096,0.01720,0.01536
628,0.02539,0.02084,0.01861
629,0.02539,0.02084,0.01861
630,0.09489,0.07788,0.06954
631,0.20200,0.16579,0.14803
632,0.20200,0.16579,0.14803
633,0.36091,0.29621,0.26449
634,0.53782,0.44140,0.39413
635,0.53782,0.44140,0.39413
636,0.68533,0.56247,0.50224
637,0.82196,0.67460,0.60236
638,0.82196,0.67460,0.60236
639,0.86959,0.71369,0.63727
640,0.91341,0.74965,0.66938
641,0.91341,0.74965,0.66938
642,0.94685,0.77710,0.69389
643,0.97680,0.80168,0.71584
644,0.97680,0.80168,0.71584
645,0.96829,0.79469,0.70960
646,0.95945,0.78744,0.70312
647,0.95945,0.78744,0.70312
648,0.97310,0.79864,0.71313
649,0.98594,0.80918,0.72253
650,0.98594,0.80918,0.72253
651,0.94917,0.77900,0.69559
652,0.90680,0.74423,0.66454
653,0.90680,0.74423,0.66454
654,0.86161,0.70714,0.63142
655,0.81258,0.66690,0.59549
656,0.81258,0.66690,0.59549
657,0.82837,0.67986,0.60706
658,0.84382,0.69254,0.61838
659,0.84382,0.69254,0.61838
660,0.85342,0.70042,0.62542
661,0.86287,0.70817,0.63234
662,0.86287,0.70817,0.63234
663,0.85315,0.70020,0.62522
664,0.84327,0.69209,0.61798
665,0.84327,0.69209,0.61798
666,0.76505,0.62789,0.56066
667,0.68072,0.55868,0.49886
668,0.68072,0.55868,0.49886
669,0.59383,0.48737,0.43518
670,0.50545,0.41483,0.37041
671,0.50545,0.41483,0.37041
672,0.45715,0.37519,0.33501
673,0.40942,0.33602,0.30004
674,0.40942,0.33602,0.30004
675,0.45927,0.37693,0.33657
676,0.50972,0.41834,0.37354
677,0.50972,0.41834,0.37354
678,0.50737,0.41641,0.37182
679,0.50503,0.41448,0.37010
680,0.50503,0.41448,0.37010
681,0.43008,0.35297,0.31518
682,0.35702,0.29301,0.26164
683,0.35702,0.29301,0.26164
684,0.52358,0.42972,0.38370
685,0.69107,0.56717,0.50644
686,0.69107,0.56717,0.50644
687,0.75688,0.62119,0.55467
688,0.81912,0.67227,0.60028
689,0.81912,0.67227,0.60028
690,0.77895,0.63930,0.57085
691,0.73710,0.60495,0.54017
692,0.73710,0.60495,0.54017
693,0.69073,0.56689,0.50619
694,0.64315,0.52784,0.47132
695,0.64315,0.52784,0.47132
696,0.62949,0.51663,0.46131
697,0.61577,0.50537,0.45126
698,0.61577,0.50537,0.45126
699,0.62718,0.51474,0.45962
700,0.63855,0.52407,0.46795
701,0.63855,0.52407,0.46795
702,0.58764,0.48229,0.43065
703,0.53628,0.44014,0.39301
704,0.53628,0.44014,0.39301
705,0.46529,0.38187,0.34098
706,0.39539,0.32451,0.28976
707,0.39539,0.32451,0.28976
708,0.28450,0.23349,0.20849
709,0.18511,0.15193,0.13566
710,0.18511,0.15193,0.13566
711,0.17622,0.14463,0.12914
712,0.16750,0.13747,0.12275
713,0.16750,0.13747,0.12275
714,0.28877,0.23700,0.21162
715,0.42730,0.35069,0.31314
716,0.42730,0.35069,0.31314
717,0.53969,0.44293,0.39550
718,0.65183,0.53497,0.47769
719,0.65183,0.53497,0.47769
720,0.67295,0.55230,0.49316
721,0.69385,0.56946,0.50848
722,0.69385,0.56946,0.50848
723,0.66815,0.54836,0.48965
724,0.64214,0.52702,0.47059
725,0.64214,0.52702,0.47059
726,0.64151,0.52650,0.47013
727,0.64088,0.52598,0.46966
728,0.64088,0.52598,0.46966
729,0.64177,0.52672,0.47032
730,0.64266,0.52745,0.47097
731,0.64266,0.52745,0.47097
732,0.64529,0.52960,0.47289
733,0.64791,0.53175,0.47481
734,0.64791,0.53175,0.47481
735,0.56779,0.46599,0.41610
736,0.48695,0.39965,0.35686
737,0.48695,0.39965,0.35686
738,0.47227,0.38760,0.34610
739,0.45763,0.37558,0.33537
740,0.45763,0.37558,0.33537
741,0.44786,0.36756,0.32821
742,0.43811,0.35957,0.32107
743,0.43811,0.35957,0.32107
744,0.45707,0.37513,0.33496
745,0.47613,0.39077,0.34892
746,0.47613,0.39077,0.34892
747,0.52412,0.43016,0.38410
748,0.57219,0.46961,0.41932
